Path|Owners|Online?|PS (2e34)|Datasets (SmartPS)|Streams|L1T Seed
HLT_Dimuon18_PsiPrime_noCorrL1_v13|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon24_Upsilon_noCorrL1_v13|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon24_Phi_noCorrL1_v13|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_Dimuon25_Jpsi_noCorrL1_v13|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu8_SQ OR L1_DoubleMu9_SQ
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v24|SUS|Yes||MuonEG, OnlineMonitor|DQM, PhysicsDispJetBTagMuEGTau|L1_DoubleMu4_SQ_EG9er2p5 OR L1_DoubleMu5_SQ_EG9er2p5
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v24|HIG, SMP, TOP|Yes||MuonEG, OnlineMonitor|DQM, PhysicsDispJetBTagMuEGTau|L1_DoubleMu5_SQ_EG9er2p5
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_v24|HIG, SMP|Yes||MuonEG, OnlineMonitor|DQM, PhysicsDispJetBTagMuEGTau|L1_DoubleMu5_SQ_EG9er2p5
HLT_DoubleIsoMu20_eta2p1_v14|TAU|Yes||||L1_DoubleMu18er2p1_SQ
HLT_TrkMu12_DoubleTrkMu5NoFiltersNoVtx_v13|HIG|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_DoubleMu_12_5 OR L1_DoubleMu_15_5_SQ OR L1_DoubleMu_15_7 OR L1_TripleMu_5_3_3
HLT_Mu8_v19|BPH, HIG, MUO, SUS|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_SingleMu3 OR L1_SingleMu5 OR L1_SingleMu7
HLT_Mu17_v20|HIG, MUO, SUS, TOP|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_SingleMu15_DQ
HLT_Mu19_v11|MUO|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_SingleMu15_DQ
HLT_Mu17_Photon30_IsoCaloId_v13|SUS|Yes||MuonEG, OnlineMonitor|DQM, PhysicsDispJetBTagMuEGTau|L1_Mu7_EG20er2p5 OR L1_Mu5_EG23er2p5 OR L1_Mu5_LooseIsoEG20er2p5 OR L1_Mu7_EG23er2p5 OR L1_Mu7_LooseIsoEG20er2p5 OR L1_Mu7_LooseIsoEG23er2p5
HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v23|HIG, SUS, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG10er2p5 OR L1_SingleEG8er2p5
HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v25|HIG, SMP, SUS|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG10er2p5 OR L1_SingleEG15er2p5
HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v25|HIG, SMP, SUS, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG15er2p5
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v25|HIG, SUS, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG10er2p5 OR L1_SingleEG8er2p5
HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v23|HIG, SUS, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG15er2p5
HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v25|HIG, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG15er2p5
HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v25|B2G, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Ele115_CaloIdVT_GsfTrkIdT_v22|B2G, EGM, HIG, SMP, SUS, TOP|Yes||EGamma0, EGamma1, OnlineMonitor, ScoutingPFMonitor(12)|DQM, PhysicsEGamma0, PhysicsEGamma1, PhysicsScoutingPFMonitor|L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Ele135_CaloIdVT_GsfTrkIdT_v15|EGM|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_PFHT330PT30_QuadPFJet_75_60_45_40_v16|B2G|Yes||ParkingHH|ParkingHH|L1_QuadJet60er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3
HLT_PFHT400_SixPFJet32_v16|B2G, TOP|Yes||ParkingHH|ParkingHH|L1_QuadJet60er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_Mu6_HTT240er
HLT_PFHT400_SixPFJet32_PNet2BTagMean0p50_v4|B2G, TOP|Yes||ParkingHH|ParkingHH|L1_QuadJet60er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_Mu6_HTT240er
HLT_PFHT450_SixPFJet36_v15|B2G, TOP|Yes||ParkingHH|ParkingHH|L1_QuadJet60er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_Mu6_HTT240er
HLT_PFHT450_SixPFJet36_PNetBTag0p35_v4|B2G, TOP|Yes||ParkingHH|ParkingHH|L1_QuadJet60er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_Mu6_HTT240er
HLT_PFHT400_FivePFJet_120_120_60_30_30_v1|B2G|Yes||ParkingHH|ParkingHH|L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_QuadJet60er2p5 OR L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5 OR L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5 OR L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5
HLT_PFHT350_v26|SMP, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_70_55_40_40_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_QuadJet60er2p5
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT350_v5|EXO|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1 OR L1_SingleJet180 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT380_v5|EXO|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1 OR L1_SingleJet180 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Photon60_R9Id90_CaloIdL_IsoL_DisplacedIdL_PFHT400_v5|EXO|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1 OR L1_SingleJet180 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_ECALHT800_v17|EXO|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_HTT280er OR L1_HTT320er OR L1_HTT360er OR L1_HTT400er OR L1_HTT450er OR L1_ETT2000 OR L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF70_HTT60er OR L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er OR L1_ETMHF130_HTT60er
HLT_DiSC30_18_EIso_AND_HE_Mass70_v21|ECAL|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG28er2p1 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_14_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200 OR L1_SingleTau120er2p1 OR L1_SingleTau130er2p1
HLT_Photon20_HoverELoose_v17|HIN|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG10er2p5
HLT_Photon30_HoverELoose_v17|HIN|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG10er2p5
HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v6|AlCa (TK DPG)|Yes||Commissioning, OnlineMonitor|DQM, PhysicsCommissioning|L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_CDC_L2cosmic_10_er1p0_v7|AlCa|Yes||NoBPTX, OnlineMonitor|DQM, PhysicsCommissioning|L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_CDC_L2cosmic_5p5_er1p0_v7|AlCa|Yes||NoBPTX, OnlineMonitor|DQM, PhysicsCommissioning|L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142
HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v16|HIG, SMP, TOP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_TripleEG_18_17_8_er2p5 OR L1_TripleEG_18_18_12_er2p5
HLT_VBF_DoubleMediumDeepTauPFTauHPS20_eta2p1_v8|HIG, TAU|Yes||ParkingVBF0, ParkingVBF1, ParkingVBF2, ParkingVBF3, ParkingVBF4, ParkingVBF5, ParkingVBF6, ParkingVBF7|ParkingVBF0, ParkingVBF0, ParkingVBF1, ParkingVBF1, ParkingVBF2, ParkingVBF2, ParkingVBF3, ParkingVBF3|L1_DoubleJet_110_35_DoubleJet35_Mass_Min800 OR L1_DoubleJet_110_35_DoubleJet35_Mass_Min850
HLT_Photon60_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v4|EXO|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Photon75_R9Id90_HE10_IsoM_EBOnly_PFJetsMJJ300DEta3_v12|SMP|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60
HLT_Mu18_Mu9_SameSign_v11|HIG|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_DoubleMu_12_5 OR L1_DoubleMu_15_7
HLT_DoubleMu2_Jpsi_DoubleTrk1_Phi1p05_v13|BPH|Yes||OnlineMonitor, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass4, ParkingDoubleMuonLowMass5, ParkingDoubleMuonLowMass6, ParkingDoubleMuonLowMass7|DQM, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass0, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass1, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass2, ParkingDoubleMuonLowMass3, ParkingDoubleMuonLowMass3|L1_DoubleMu0er1p5_SQ_OS_dR_Max1p4 OR L1_DoubleMu0er1p4_SQ_OS_dR_Max1p4 OR L1_DoubleMu4p5_SQ_OS_dR_Max1p2 OR L1_DoubleMu4_SQ_OS_dR_Max1p2
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_v17|SUS|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_DoubleMu3_SQ_ETMHF30_HTT60er OR L1_DoubleMu3_SQ_ETMHF40_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0_v1|SUS|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_DoubleMu3_SQ_ETMHF30_HTT60er OR L1_DoubleMu3_SQ_ETMHF40_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_DoubleMu3_DCA_PFMET50_PFMHT60_Mass2p0_noDCA_v1|SUS|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_DoubleMu3_SQ_ETMHF30_HTT60er OR L1_DoubleMu3_SQ_ETMHF40_HTT60er OR L1_DoubleMu3_SQ_ETMHF50_HTT60er OR L1_DoubleMu3_SQ_ETMHF30_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF40_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5_OR_DoubleJet40er2p5 OR L1_DoubleMu3_SQ_ETMHF50_Jet60er2p5 OR L1_DoubleMu3_SQ_ETMHF60_Jet60er2p5
HLT_TripleMu_5_3_3_Mass3p8_DCA_v10|SUS|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_TripleMu0 OR L1_TripleMu_5_5_3 OR L1_TripleMu_5_3_3 OR L1_TripleMu3_SQ
HLT_QuadPFJet103_88_75_15_v12|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_TripleJet_95_75_65_DoubleJet_75_65_er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_QuadPFJet105_88_76_15_v12|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_TripleJet_100_80_70_DoubleJet_80_70_er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_QuadPFJet111_90_80_15_v12|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_TripleJet_105_85_75_DoubleJet_85_75_er2p5 OR L1_HTT280er OR L1_HTT320er OR L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_v8|HIG|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleLooseIsoEG26er2p5 OR L1_SingleLooseIsoEG26er1p5 OR L1_SingleLooseIsoEG28er2p5 OR L1_SingleLooseIsoEG28er2p1 OR L1_SingleLooseIsoEG28er1p5 OR L1_SingleLooseIsoEG30er2p5 OR L1_SingleLooseIsoEG30er1p5 OR L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5
HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_Mass55_v8|HIG|Yes||EGamma0, EGamma1, OnlineMonitor|DQM, PhysicsEGamma0, PhysicsEGamma1|L1_SingleLooseIsoEG26er2p5 OR L1_SingleLooseIsoEG26er1p5 OR L1_SingleLooseIsoEG28er2p5 OR L1_SingleLooseIsoEG28er2p1 OR L1_SingleLooseIsoEG28er1p5 OR L1_SingleLooseIsoEG30er2p5 OR L1_SingleLooseIsoEG30er1p5 OR L1_SingleEG26er2p5 OR L1_SingleEG38er2p5 OR L1_SingleEG40er2p5 OR L1_SingleEG42er2p5 OR L1_SingleEG45er2p5 OR L1_SingleEG60 OR L1_SingleEG34er2p5 OR L1_SingleEG36er2p5 OR L1_SingleIsoEG24er2p1 OR L1_SingleIsoEG26er2p1 OR L1_SingleIsoEG28er2p1 OR L1_SingleIsoEG30er2p1 OR L1_SingleIsoEG32er2p1 OR L1_SingleIsoEG26er2p5 OR L1_SingleIsoEG28er2p5 OR L1_SingleIsoEG30er2p5 OR L1_SingleIsoEG32er2p5 OR L1_SingleIsoEG34er2p5 OR L1_DoubleEG_22_10_er2p5 OR L1_DoubleEG_25_12_er2p5 OR L1_DoubleEG_25_14_er2p5
HLT_DoubleMediumDeepTauPFTauHPS35_L2NN_eta2p1_v7|HIG, TAU|Yes||Tau|PhysicsDispJetBTagMuEGTau|L1_DoubleIsoTau32er2p1 OR L1_DoubleIsoTau34er2p1 OR L1_DoubleIsoTau35er2p1 OR L1_DoubleIsoTau36er2p1 OR L1_DoubleTau70er2p1
HLT_Ele24_eta2p1_WPTight_Gsf_LooseDeepTauPFTauHPS30_eta2p1_CrossL1_v8|TAU|Yes||EGamma0, EGamma1|PhysicsEGamma0, PhysicsEGamma1|L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Tight_eta2p3_CrossL1_v1|HIG|Yes||EGamma0, EGamma1|PhysicsEGamma0, PhysicsEGamma1|L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Medium_eta2p3_CrossL1_v1|HIG|Yes||EGamma0, EGamma1|PhysicsEGamma0, PhysicsEGamma1|L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3
HLT_Ele24_eta2p1_WPTight_Gsf_PNetTauhPFJet30_Loose_eta2p3_CrossL1_v1|HIG|Yes||EGamma0, EGamma1|PhysicsEGamma0, PhysicsEGamma1|L1_LooseIsoEG22er2p1_IsoTau26er2p1_dR_Min0p3 OR L1_LooseIsoEG22er2p1_Tau70er2p1_dR_Min0p3 OR L1_LooseIsoEG24er2p1_IsoTau27er2p1_dR_Min0p3
HLT_IsoMu20_eta2p1_LooseDeepTauPFTauHPS27_eta2p1_CrossL1_v8|TAU|Yes||Muon0, Muon1|PhysicsMuon0, PhysicsMuon1|L1_Mu18er2p1_Tau24er2p1 OR L1_Mu18er2p1_Tau26er2p1
HLT_IsoMu24_eta2p1_LooseDeepTauPFTauHPS180_eta2p1_v8|EXO, TAU|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_Mu22er2p1_IsoTau40er2p1
HLT_IsoMu24_eta2p1_LooseDeepTauPFTauHPS30_eta2p1_CrossL1_v8|TAU|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_Mu18er2p1_Tau24er2p1 OR L1_Mu18er2p1_Tau26er2p1
HLT_IsoMu24_eta2p1_MediumDeepTauPFTauHPS35_L2NN_eta2p1_CrossL1_v8|TAU|Yes||Muon0, Muon1, OnlineMonitor|DQM, PhysicsMuon0, PhysicsMuon1|L1_Mu22er2p1_IsoTau32er2p1 OR L1_Mu22er2p1_IsoTau34er2p1 OR L1_Mu22er2p1_Tau70er2p1
HLT_LooseDeepTauPFTauHPS180_L2NN_eta2p1_v8|EXO, TAU|Yes||Tau|PhysicsDispJetBTagMuEGTau|L1_SingleTau120er2p1 OR L1_SingleTau130er2p1
